season,team,n_players,degree_centralization,edge_concentration_top5,edge_concentration_top10,modularity_Q,community_size_cv,minutes_gini,minutes_top1_share,minutes_top2_share,minutes_top3_share,minutes_assortativity,total_player_minutes,team_off_ppp,team_def_ppp,team_net_rating
2022-2023,ORL,9,0.15033708520520722,0.3070898739899019,0.5721205521714229,0.19854232517112924,0.11111111108641974,0.25585441589037905,0.18760770210534203,0.35648460328163634,0.5072300891586125,0.2778449123458322,13347.0,111.35751960085531,112.53061297220243,-1.1730933713471217
2022-2023,ORL,5,0.0,0.49999999995,0.9999999999,0.0,0.0,0.0,0.2,0.4,0.6000000000000001,1.0,5920.0,114.0,113.0,1.0
2022-2023,PHI,8,0.19312148165897564,0.36685189880087804,0.6706455029059284,0.10562271759943606,0.499999999875,0.25846976680195366,0.18587053724977642,0.36204168673041204,0.5349797069546673,0.5092239100244235,14537.0,120.9122795341098,112.41158069883531,8.500698835274491
2022-2023,PHI,6,0.2,0.49999999994999983,0.8360091742283254,2.220446049250313e-16,0.0,0.13933486238532092,0.20000000000000004,0.4000000000000001,0.6000000000000002,-0.24616404835951905,8720.0,122.09696100917432,112.71410550458715,9.38285550458717
2022-2023,PHX,8,0.20494606055069728,0.3530536527665697,0.6517522072357548,2.220446049250313e-16,0.0,0.24754284884283917,0.20180110390239178,0.3677737968432265,0.532003486007553,-0.21879384231538015,10327.0,115.78353741496599,112.81260770975058,2.9709297052154113
2022-2023,POR,6,0.19058074493358576,0.48374058831699124,0.8616365761818081,-2.220446049250313e-16,0.0,0.14682777444910458,0.21300179748352308,0.408627920910725,0.604254044337927,-0.19669906311501306,10014.0,116.04683544303798,115.91725269573372,0.129582747304255
2022-2023,POR,5,0.0,0.49999999995,0.9999999999,0.0,0.0,0.0,0.2,0.4,0.6000000000000001,1.0,5525.0,116.4,115.4,1.0
2022-2023,SAC,7,0.21841266402273612,0.42419715580844924,0.794169905365821,0.02586769241685232,0.4285714284489796,0.21499428846269467,0.20309024228942466,0.39535862442133113,0.5709733661997235,0.057873827567239244,16633.0,122.42483547925609,117.14123032904148,5.283605150214612
2022-2023,SAC,5,0.0,0.49999999995,0.9999999999,0.0,0.0,0.0,0.2,0.4,0.6000000000000001,1.0,9490.0,119.9,116.2,3.700000000000003
2022-2023,SAS,7,0.2190276824605033,0.4813819487175873,0.7638289344622589,0.03379304424771437,0.4285714284489796,0.22472783825816478,0.21345256609642302,0.40649300155520995,0.5977838258164853,0.05432540333391875,5144.0,114.52915282392024,117.20996677740862,-2.680813953488382
2022-2023,TOR,8,0.2516602287101424,0.4189108990234335,0.7228744997941825,-2.220446049250313e-16,0.0,0.2972440123508304,0.20178586330635068,0.39430860385546196,0.573645998497872,-0.06578862376798424,11983.0,118.3910669975186,113.83010752688172,4.560959470636888
2022-2023,TOR,6,0.2,0.4999999999500001,0.8204022987685345,0.0,0.0,0.1367337164750957,0.20000000000000004,0.4000000000000001,0.6000000000000002,-0.21534263721269709,6960.0,118.09597701149424,113.00811781609194,5.087859195402302
